iter	Passed	Remaining
332	661	1324
333	663	1323
334	667	1324
335	668	1321
336	670	1318
337	671	1316
338	673	1313
339	675	1311
340	680	1315
341	682	1313
342	684	1310
343	685	1307
344	687	1305
345	689	1303
346	691	1301
347	696	1304
348	698	1303
349	700	1301
350	702	1298
351	703	1295
352	705	1293
353	708	1293
354	710	1291
355	712	1288
356	713	1285
357	715	1282
358	716	1279
359	718	1276
360	721	1277
361	724	1277
362	726	1275
363	728	1272
364	729	1269
365	731	1267
366	732	1264
367	736	1264
368	739	1264
369	740	1261
370	742	1258
371	743	1255
372	745	1253
373	747	1251
374	750	1250
375	753	1250
376	754	1247
377	756	1244
378	758	1242
379	759	1239
380	761	1236
381	762	1233
382	765	1232
383	768	1233
384	771	1232
385	773	1230
386	775	1227
387	776	1224
388	778	1223
389	782	1223
390	785	1223
391	787	1221
392	788	1218
393	790	1215
394	792	1213
395	797	1216
396	799	1213
397	800	1211
398	802	1208
399	803	1205
400	805	1202
401	806	1200
402	808	1198
403	811	1197
404	813	1195
405	815	1192
406	816	1189
407	818	1186
408	820	1185
409	821	1182
410	823	1180
411	827	1180
412	828	1178
413	830	1175
414	832	1173
415	834	1171
416	836	1169
417	840	1170
418	843	1169
419	845	1166
420	846	1164
421	848	1162
422	851	1161
423	854	1161
424	857	1159
425	859	1157
426	860	1155
427	862	1153
428	865	1151
429	867	1150
430	871	1150
431	873	1147
432	874	1145
433	876	1142
434	878	1140
435	879	1138
436	882	1136
437	884	1134
438	886	1132
439	887	1129
440	889	1127
441	891	1125
442	893	1123
443	894	1120
444	896	1117
445	898	1116
446	901	1115
447	902	1112
448	904	1109
449	906	1107
450	907	1104
451	909	1102
452	911	1100
453	914	1099
454	916	1097
